segment,model_a,model_b,rmse_a,rmse_b,mean_diff,ci_lo,ci_hi,bootstrap_significant,wilcoxon_p,wilcoxon_significant,n
power,3_StaticHybrid,7_SequentialGate,0.8500230821248264,0.8423129287862307,0.007685607512585991,0.005064883714606394,0.010292410470941774,True,1.408452816220359e-07,True,11682
power,4_LearnedGate,5_BanditGate,0.8431090072776444,0.8500871113171581,-0.006992262523130483,-0.009553939798445118,-0.004432924286377854,True,0.37670068718635985,False,11682
power,4_LearnedGate,6_GAEvolvedGate,0.8431090072776444,0.8430946594445826,5.22933848914997e-07,-0.0007376097373270633,0.0007096860102873414,False,0.01766392179348902,True,11682
power,4_LearnedGate,7_SequentialGate,0.8431090072776444,0.8423129287862307,0.0007796369001560352,-0.000270852721053799,0.0018903511796712735,False,1.8916900296049843e-12,True,11682
power,5_BanditGate,6_GAEvolvedGate,0.8500871113171581,0.8430946594445826,0.0069927854569793975,0.004467126559882554,0.009559444123611644,True,0.019144936497405965,True,11682
power,5_BanditGate,7_SequentialGate,0.8500871113171581,0.8423129287862307,0.007771899423286518,0.005372230975064579,0.010201246041277503,True,1.2360614252792746e-07,True,11682
power,6_GAEvolvedGate,7_SequentialGate,0.8430946594445826,0.8423129287862307,0.0007791139663071203,-0.0003345824110221801,0.0018808825749098968,False,0.0005789509361939902,True,11682
warm,1_CF_SVDpp,2_ContentBased,0.9132856807842757,0.9683508559590707,-0.05553506638699408,-0.08236122095882767,-0.027285394925221453,True,2.1717231455805385e-06,True,1502
warm,1_CF_SVDpp,3_StaticHybrid,0.9132856807842757,0.906408205059823,0.006793354059691589,0.0024060375695297985,0.011345754935668199,True,0.030064787438526405,True,1502
warm,1_CF_SVDpp,4_LearnedGate,0.9132856807842757,0.9060415662964081,0.007166096900965366,0.002235604091382051,0.012324661670797257,True,0.01625197182709705,True,1502
warm,1_CF_SVDpp,5_BanditGate,0.9132856807842757,0.9187965403604101,-0.005530102609178495,-0.015286503875213337,0.005149811799406126,False,0.6163338848446911,False,1502
warm,1_CF_SVDpp,6_GAEvolvedGate,0.9132856807842757,0.9056187326535499,0.007565847945342023,0.0013352159002294438,0.013988303686839058,True,0.03582873541632851,True,1502
warm,1_CF_SVDpp,7_SequentialGate,0.9132856807842757,0.9043648609644487,0.008810632202140851,0.0003880702038102213,0.017885626576092,True,0.04934919032670837,True,1502
warm,2_ContentBased,3_StaticHybrid,0.9683508559590707,0.906408205059823,0.062328420446685656,0.03840879724498385,0.08528343218793703,True,2.792727512692331e-09,True,1502
warm,2_ContentBased,4_LearnedGate,0.9683508559590707,0.9060415662964081,0.06270116328795944,0.03851909624323883,0.08637642187374384,True,1.8860695058855437e-08,True,1502
warm,2_ContentBased,5_BanditGate,0.9683508559590707,0.9187965403604101,0.050004963777815575,0.027344908765444823,0.07217690194235613,True,1.3074231699499048e-10,True,1502
warm,2_ContentBased,6_GAEvolvedGate,0.9683508559590707,0.9056187326535499,0.06310091433233608,0.03988714866994897,0.08552112743843111,True,1.7811830710923e-09,True,1502
warm,2_ContentBased,7_SequentialGate,0.9683508559590707,0.9043648609644487,0.06434569858913491,0.04333602757424807,0.08535637656051093,True,6.374870360392188e-11,True,1502
warm,3_StaticHybrid,4_LearnedGate,0.906408205059823,0.9060415662964081,0.0003727428412737782,-0.0019613390918188133,0.002804997755676227,False,0.9862917465992183,False,1502
warm,3_StaticHybrid,5_BanditGate,0.906408205059823,0.9187965403604101,-0.012323456668870083,-0.0199139478289486,-0.004705253773261423,True,0.13304643811272737,False,1502
warm,3_StaticHybrid,6_GAEvolvedGate,0.906408205059823,0.9056187326535499,0.0007724938856504354,-0.002236136898470894,0.004068953241225172,False,0.2896293869818829,False,1502
warm,3_StaticHybrid,7_SequentialGate,0.906408205059823,0.9043648609644487,0.0020172781424492633,-0.0029469950219753118,0.007388613611319986,False,0.06032625648606302,False,1502
warm,4_LearnedGate,5_BanditGate,0.9060415662964081,0.9187965403604101,-0.012696199510143861,-0.020973725986667913,-0.0043058342854092055,True,0.40996253857492304,False,1502
warm,4_LearnedGate,6_GAEvolvedGate,0.9060415662964081,0.9056187326535499,0.0003997510443766572,-0.0020119612496602656,0.002887959618483186,False,0.6428481342810517,False,1502
warm,4_LearnedGate,7_SequentialGate,0.9060415662964081,0.9043648609644487,0.0016445353011754846,-0.002500576933069792,0.006376044558985934,False,0.15355498667045314,False,1502
warm,5_BanditGate,6_GAEvolvedGate,0.9187965403604101,0.9056187326535499,0.013095950554520518,0.005436592909932466,0.020746724659173068,True,0.052018622537268536,False,1502
warm,5_BanditGate,7_SequentialGate,0.9187965403604101,0.9043648609644487,0.014340734811319346,0.007372058332279065,0.021414883893657095,True,0.029038962150045994,True,1502
warm,6_GAEvolvedGate,7_SequentialGate,0.9056187326535499,0.9043648609644487,0.0012447842567988275,-0.002446267875373872,0.004932044928884332,False,0.8521993916812136,False,1502
